INFO:root:Application Started
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 10.05ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 4.72ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 4.52ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 7.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.00ms
INFO:tornado.access:200 POST /events (::1) 9.32ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 7.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 7.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.99ms
INFO:tornado.access:200 POST /events (::1) 5.01ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 9.62ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 10.05ms
INFO:tornado.access:200 POST /events (::1) 8.01ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 7.99ms
INFO:tornado.access:200 POST /events (::1) 9.18ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 7.98ms
INFO:tornado.access:200 POST /events (::1) 7.99ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 10.01ms
INFO:tornado.access:200 POST /events (::1) 2.56ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 7.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.86ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
